id_pedido,cliente,zona,fecha_creacion,fecha_entrega,estado,repartidor,metodo_pago,monto
1,Ivan Rojas,Centro,2026-08-21 16:43:20,,pendiente,,efectivo,23581.65
2,Diana Torres,Chapinero,2026-07-28 06:15:20,2026-07-28 06:41:20,entregado,Bici-01 Andres,app,47019.51
3,Ana Gomez,Chapinero,2026-08-02 13:06:20,,en_camino,Moto-03 Daniela,app,28503.53
4,Paula Leon,Sur,2026-08-24 12:20:20,2026-08-24 12:55:20,entregado,Bici-01 Andres,app,35089.83
5,Fernanda Diaz,Centro,2026-08-24 08:51:20,2026-08-24 09:19:20,entregado,Moto-01 Felipe,efectivo,91448.68
6,Mateo Nunez,Centro,2026-07-27 19:36:20,2026-07-27 20:49:20,entregado,Bici-01 Andres,app,33955.23
7,Diana Torres,Occidente,2026-08-17 00:00:20,,pendiente,,app,36333.8
8,Valentina Cano,Centro,2026-08-21 04:56:20,2026-08-21 05:40:20,entregado,Bici-01 Andres,efectivo,70479.46
9,Esteban Lopez,Sur,2026-08-05 18:23:20,,cancelado,,tarjeta,35071.81
10,Mateo Nunez,Sur,2026-08-21 12:38:20,2026-08-21 13:02:20,entregado,Moto-01 Felipe,tarjeta,29389.08
11,Ivan Rojas,Chapinero,2026-08-20 07:38:20,2026-08-20 09:04:20,entregado,Moto-01 Felipe,efectivo,50367.6
12,Ivan Rojas,Norte,2026-08-02 14:10:20,2026-08-02 14:59:20,entregado,Moto-02 Sara,efectivo,78818.8
13,Laura Vega,Chapinero,2026-07-26 14:35:20,,en_camino,Moto-02 Sara,efectivo,66401.41
14,Fernanda Diaz,Centro,2026-08-21 20:27:20,2026-08-21 21:15:20,entregado,Bici-03 Nicolas,efectivo,73834.09
15,Natalia Rios,Chapinero,2026-08-26 14:14:20,2026-08-26 15:34:20,entregado,Bici-02 Camila,tarjeta,30203.62
16,Esteban Lopez,Norte,2026-08-15 01:21:20,,pendiente,,efectivo,64078.02
17,Natalia Rios,Norte,2026-08-23 13:34:20,2026-08-23 14:56:20,entregado,Moto-02 Sara,tarjeta,61458.74
18,Esteban Lopez,Norte,2026-08-04 00:54:20,,cancelado,,app,85437.44
19,Esteban Lopez,Centro,2026-08-26 18:27:20,,en_camino,Moto-02 Sara,tarjeta,48085.52
20,Sofia Marin,Centro,2026-07-23 17:50:20,,cancelado,,efectivo,54137.58
21,Sofia Marin,Centro,2026-07-28 10:31:20,2026-07-28 11:06:20,entregado,Moto-01 Felipe,app,28509.62
22,Ana Gomez,Chapinero,2026-08-17 03:26:20,,cancelado,,app,38904.95
23,Kevin Silva,Centro,2026-07-24 11:34:20,,pendiente,,efectivo,16807.79
